embryos	juveniles	adults	juv&adults
0	100	0	100
0	100	0	100
0	99	0	99
0	99	0	99
0	98	0	98
0	97	0	97
0	97	0	97
0	95	0	95
0	95	0	95
0	94	0	94
0	94	0	94
0	94	0	94
0	93	0	93
0	92	0	92
0	92	0	92
0	92	0	92
0	92	0	92
0	92	0	92
0	92	0	92
0	92	0	92
0	92	0	92
0	92	0	92
0	91	0	91
0	91	0	91
0	90	0	90
0	90	0	90
0	90	0	90
0	88	0	88
0	86	0	86
0	86	0	86
0	86	0	86
0	85	0	85
0	85	0	85
0	83	0	83
0	83	0	83
0	82	0	82
0	82	0	82
0	82	0	82
0	82	0	82
0	81	0	81
0	81	0	81
0	81	0	81
0	81	0	81
0	80	1	81
0	77	1	78
0	75	2	77
0	68	8	76
0	66	10	76
0	64	11	75
0	57	18	75
0	50	25	75
0	48	27	75
0	45	30	75
0	38	37	75
0	32	43	75
0	26	48	74
0	21	53	74
0	20	53	73
0	16	57	73
0	15	57	72
0	8	63	71
0	7	64	71
0	6	64	70
0	4	66	70
0	2	68	70
0	2	67	69
0	1	67	68
9	1	67	68
9	1	67	68
9	0	67	67
35	0	67	67
63	0	67	67
64	0	66	66
80	0	66	66
126	0	66	66
147	0	66	66
168	0	65	65
184	0	65	65
232	0	65	65
279	0	65	65
294	0	65	65
314	0	65	65
329	0	63	63
323	0	61	61
351	0	61	61
356	0	61	61
356	0	61	61
369	0	61	61
369	0	61	61
374	0	61	61
368	0	60	60
368	0	60	60
362	0	59	59
362	0	59	59
196	0	34	34
196	0	34	34
190	0	33	33
184	0	32	32
168	0	30	30
168	0	30	30
168	0	30	30
162	0	29	29
162	0	29	29
162	0	29	29
162	0	29	29
162	0	29	29
162	0	29	29
162	0	29	29
162	0	29	29
161	1	29	30
161	1	29	30
161	1	29	30
161	1	29	30
161	1	29	30
161	1	29	30
159	3	29	32
159	3	29	32
159	3	29	32
157	5	29	34
148	5	28	33
142	5	27	32
138	9	27	36
135	12	27	39
134	13	27	40
131	16	27	43
119	22	26	48
118	23	26	49
106	28	25	53
101	33	25	58
99	35	25	60
92	42	25	67
91	48	25	73
85	51	24	75
80	55	24	79
74	60	24	84
71	62	24	86
68	65	24	89
62	71	24	95
56	76	24	100
48	84	24	108
45	87	24	111
40	92	24	116
31	101	24	125
29	102	24	126
23	107	24	131
28	114	24	138
36	116	24	140
44	115	24	139
43	115	24	139
41	116	24	140
41	116	24	140
41	114	24	138
40	113	23	136
39	114	22	136
39	114	21	135
39	112	21	133
37	112	21	133
36	113	21	134
35	114	21	135
34	113	21	134
34	112	21	133
34	112	21	133
34	109	22	131
34	109	22	131
34	107	23	130
34	106	24	130
34	104	25	129
34	104	24	128
34	102	25	127
34	102	25	127
34	98	27	125
33	94	30	124
31	92	31	123
29	91	33	124
23	90	38	128
22	89	40	129
19	91	41	132
16	93	42	135
22	94	44	138
26	94	45	139
24	89	50	139
22	90	51	141
20	88	54	142
10	86	58	144
10	84	59	143
16	77	64	141
22	74	65	139
90	73	66	139
130	67	69	136
182	66	69	135
195	58	75	133
189	56	76	132
189	54	78	132
189	51	81	132
189	49	81	130
184	45	83	128
184	44	84	128
184	43	85	128
184	40	83	123
184	36	86	122
182	33	89	122
181	32	90	122
179	30	90	120
227	30	92	122
286	35	94	129
292	48	92	140
295	61	92	153
258	90	91	181
250	125	91	216
310	147	90	237
339	153	91	244
368	163	88	251
415	165	87	252
435	163	88	251
412	163	85	248
397	161	82	243
402	159	83	242
402	157	83	240
413	154	83	237
418	153	83	236
417	156	83	239
393	165	82	247
396	181	84	265
399	184	85	269
405	195	85	280
413	204	85	289
444	213	85	298
439	217	84	301
455	221	82	303
473	224	82	306
472	222	82	304
480	223	81	304
473	220	81	301
476	218	82	300
477	221	81	302
472	223	81	304
462	231	79	310
449	240	79	319
263	239	60	299
259	237	59	296
253	238	60	298
234	243	59	302
215	246	59	305
197	257	61	318
180	263	61	324
172	267	61	328
149	277	60	337
138	285	61	346
125	293	61	354
109	302	60	362
95	309	62	371
92	309	65	374
81	309	66	375
69	310	66	376
70	310	71	381
69	304	78	382
68	298	86	384
60	298	91	389
50	293	97	390
51	291	100	391
47	286	103	389
84	279	105	384
115	273	109	382
115	268	111	379
105	262	112	374
109	260	113	373
121	252	119	371
122	248	120	368
121	240	126	366
86	235	122	357
84	228	124	352
75	220	123	343
75	216	125	341
75	212	125	337
69	206	127	333
69	201	126	327
67	198	123	321
67	195	126	321
66	192	128	320
65	185	133	318
64	182	134	316
64	179	136	315
64	172	136	308
63	170	137	307
62	170	136	306
61	166	136	302
59	163	138	301
69	160	139	299
65	164	139	303
60	165	140	305
51	169	139	308
58	166	136	302
124	163	135	298
170	162	138	300
188	161	139	300
197	156	139	295
211	155	139	294
212	150	141	291
213	146	141	287
217	141	144	285
217	138	144	282
214	132	146	278
215	127	149	276
214	123	152	275
214	120	153	273
210	116	153	269
209	111	157	268
208	110	157	267
207	105	160	265
209	104	162	266
135	101	140	241
82	98	119	217
77	94	121	215
76	92	120	212
75	89	121	210
75	87	122	209
75	84	122	206
75	82	123	205
73	77	124	201
72	75	125	200
71	74	125	199
71	74	124	198
70	73	125	198
70	73	124	197
68	74	123	197
67	74	122	196
62	73	120	193
61	73	121	194
59	74	121	195
56	74	119	193
55	73	119	192
54	73	120	193
50	74	121	195
43	76	120	196
41	77	117	194
37	77	118	195
35	78	118	196
26	84	117	201
21	87	119	206
19	85	119	204
14	89	120	209
13	89	120	209
9	92	119	211
7	93	118	211
7	92	117	209
7	92	116	208
7	91	116	207
7	89	116	205
6	88	114	202
10	88	111	199
55	88	109	197
78	87	107	194
81	88	107	195
81	88	106	194
81	88	106	194
75	87	103	190
75	86	103	189
80	86	103	189
79	87	102	189
79	87	102	189
79	87	101	188
78	88	101	189
78	87	100	187
78	86	101	187
78	86	100	186
77	84	98	182
75	84	97	181
75	83	97	180
74	80	98	178
74	79	99	178
74	77	100	177
72	77	99	176
72	75	99	174
71	75	97	172
68	75	95	170
68	73	95	168
68	71	93	164
68	69	92	161
67	69	91	160
67	69	89	158
