embryos	juveniles	adults	juv&adults
0	99	0	99
0	98	0	98
0	97	0	97
0	95	0	95
0	95	0	95
0	95	0	95
0	95	0	95
0	94	0	94
0	94	0	94
0	94	0	94
0	93	0	93
0	92	0	92
0	92	0	92
0	92	0	92
0	89	0	89
0	89	0	89
0	89	0	89
0	88	0	88
0	87	0	87
0	86	0	86
0	85	0	85
0	85	0	85
0	84	0	84
0	84	0	84
0	84	0	84
0	84	0	84
0	83	0	83
0	81	0	81
0	81	0	81
0	79	0	79
0	79	0	79
0	79	0	79
0	79	0	79
0	78	0	78
0	76	0	76
0	76	0	76
0	76	0	76
0	76	0	76
0	75	0	75
0	75	0	75
0	75	0	75
0	75	0	75
0	75	0	75
0	75	0	75
0	74	1	75
0	73	1	74
0	71	2	73
0	67	5	72
0	65	7	72
0	64	8	72
0	56	15	71
0	49	21	70
0	44	26	70
0	41	29	70
0	36	32	68
0	31	37	68
0	25	41	66
0	21	45	66
0	19	47	66
0	12	54	66
0	9	57	66
0	5	60	65
0	3	61	64
0	1	63	64
0	1	63	64
0	1	63	64
0	1	62	63
0	0	63	63
0	0	63	63
0	0	62	62
18	0	62	62
32	0	62	62
40	0	62	62
60	0	61	61
72	0	61	61
107	0	61	61
135	0	60	60
152	0	59	59
177	0	59	59
197	0	58	58
215	0	57	57
229	0	57	57
250	0	57	57
290	0	57	57
302	0	57	57
316	0	57	57
312	0	56	56
312	0	56	56
304	0	55	55
307	0	55	55
307	0	55	55
303	0	54	54
303	0	54	54
303	0	54	54
200	0	37	37
200	0	37	37
200	0	37	37
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
191	0	36	36
190	1	36	37
190	1	36	37
189	2	36	38
181	2	35	37
181	2	35	37
181	2	35	37
181	2	35	37
181	2	35	37
180	3	35	38
180	3	35	38
177	6	35	41
174	9	35	44
171	12	35	47
167	16	35	51
167	16	35	51
164	18	35	53
164	18	35	53
149	25	33	58
143	30	33	63
137	36	33	69
133	40	33	73
131	42	33	75
121	51	33	84
110	62	33	95
100	72	33	105
90	82	33	115
78	93	32	125
70	100	32	132
60	108	32	140
53	114	32	146
46	121	31	152
42	123	29	152
37	126	29	155
30	133	29	162
26	137	29	166
21	141	29	170
11	149	29	178
11	148	29	177
28	149	28	177
25	152	28	180
25	151	28	179
34	151	28	179
34	150	28	178
34	149	28	177
34	148	28	176
34	147	27	174
34	146	27	173
34	144	27	171
34	144	27	171
34	143	27	170
34	143	25	168
34	143	25	168
33	143	25	168
33	141	26	167
32	139	26	165
32	137	27	164
32	137	27	164
32	136	28	164
32	130	28	158
32	129	28	157
32	128	28	156
11	126	28	154
11	124	30	154
11	122	31	153
11	115	36	151
16	110	40	150
16	108	41	149
14	101	50	151
10	96	54	150
10	87	58	145
12	80	66	146
23	79	67	146
23	75	69	144
23	70	71	141
23	65	74	139
18	60	75	135
18	55	80	135
18	51	84	135
25	48	86	134
108	46	88	134
238	44	90	134
304	40	93	133
310	38	94	132
310	36	96	132
305	33	98	131
305	32	98	130
305	29	101	130
304	27	103	130
299	27	102	129
293	26	102	128
293	24	104	128
277	21	104	125
271	20	104	124
271	20	104	124
281	22	104	126
329	22	105	127
372	28	105	133
380	51	105	156
378	86	105	191
360	128	105	233
336	174	105	279
396	209	105	314
460	236	105	341
537	244	106	350
590	252	102	354
620	256	100	356
607	259	96	355
545	256	89	345
516	253	86	339
527	251	87	338
531	245	87	332
515	239	88	327
507	245	86	331
488	255	85	340
461	266	83	349
491	283	83	366
504	293	81	374
515	304	80	384
513	311	79	390
503	313	78	391
519	317	78	395
538	315	79	394
545	310	78	388
550	312	77	389
560	310	77	387
569	310	77	387
559	310	76	386
543	313	76	389
541	310	77	387
514	326	76	402
354	342	62	404
334	356	62	418
312	368	64	432
293	377	64	441
269	392	64	456
229	410	65	475
189	427	66	493
150	446	65	511
138	449	66	515
120	459	68	527
101	464	69	533
88	471	68	539
78	469	71	540
79	470	75	545
76	464	78	542
70	462	85	547
70	456	86	542
79	444	96	540
60	438	101	539
53	426	108	534
50	418	113	531
47	399	121	520
47	389	126	515
79	380	132	512
111	362	143	505
116	347	152	499
115	336	158	494
111	324	162	486
124	317	165	482
124	310	165	475
120	303	167	470
114	293	169	462
108	279	168	447
108	272	167	439
103	269	168	437
103	261	173	434
102	253	173	426
99	248	173	421
97	245	174	419
97	241	174	415
97	231	175	406
95	229	174	403
91	223	172	395
88	220	170	390
79	219	165	384
76	222	164	386
74	217	161	378
72	217	160	377
70	219	158	377
103	223	155	378
114	221	156	377
108	223	158	381
105	223	161	384
123	220	162	382
172	224	161	385
230	223	161	384
258	225	163	388
293	219	168	387
305	214	173	387
311	212	177	389
315	207	180	387
321	198	187	385
321	195	188	383
304	184	189	373
305	173	193	366
294	165	195	360
285	153	202	355
286	147	207	354
279	142	206	348
279	131	214	345
278	128	216	344
280	123	218	341
175	120	189	309
130	112	171	283
130	111	171	282
125	107	174	281
124	104	176	280
124	103	177	280
118	104	171	275
117	102	170	272
114	101	169	270
110	98	168	266
110	95	170	265
110	90	173	263
110	86	175	261
104	84	173	257
104	83	172	255
103	82	174	256
101	82	176	258
96	80	176	256
95	81	174	255
94	82	173	255
88	83	173	256
78	86	171	257
70	93	169	262
60	101	166	267
57	102	163	265
55	103	160	263
50	103	157	260
46	104	155	259
42	106	155	261
39	105	156	261
33	108	157	265
31	107	157	264
31	104	156	260
30	103	154	257
26	107	154	261
25	107	152	259
22	109	152	261
20	109	149	258
18	110	145	255
28	110	143	253
95	109	142	251
128	106	142	248
125	106	140	246
122	108	139	247
121	106	139	245
118	106	138	244
117	106	137	243
122	105	137	242
120	100	139	239
120	100	139	239
118	100	137	237
110	99	134	233
110	95	134	229
110	95	133	228
110	94	131	225
105	94	128	222
105	91	128	219
105	91	128	219
104	91	128	219
104	91	128	219
104	91	127	218
102	92	126	218
102	92	123	215
101	92	122	214
100	91	121	212
98	89	119	208
97	87	118	205
98	85	118	203
98	84	119	203
95	84	117	201
94	84	116	200
94	81	117	198
97	80	117	197
98	79	117	196
95	78	115	193
95	78	114	192
95	75	113	188
95	73	113	186
97	72	112	184
103	71	110	181
102	71	109	180
99	70	106	176
98	70	105	175
94	70	103	173
94	69	103	172
94	69	103	172
88	72	103	175
89	73	103	176
93	76	105	181
99	81	104	185
107	87	101	188
107	94	100	194
108	93	101	194
114	94	99	193
119	94	98	192
134	98	98	196
138	98	98	196
139	101	97	198
140	99	98	197
140	99	99	198
138	102	99	201
137	102	98	200
135	103	97	200
133	101	97	198
133	101	96	197
134	100	95	195
139	99	94	193
140	100	94	194
137	99	94	193
137	97	94	191
137	96	94	190
138	97	94	191
139	96	94	190
139	96	94	190
139	95	95	190
142	96	95	191
142	95	96	191
142	93	97	190
103	91	83	174
99	91	82	173
99	88	83	171
99	88	82	170
100	89	82	171
102	86	84	170
100	82	86	168
99	81	87	168
100	80	87	167
99	79	87	166
98	77	90	167
97	77	89	166
96	78	91	169
97	75	92	167
98	74	93	167
98	73	92	165
97	73	92	165
97	73	92	165
96	73	91	164
102	74	90	164
101	73	92	165
104	76	93	169
100	77	93	170
79	77	86	163
73	79	82	161
69	82	81	163
67	83	81	164
63	85	82	167
60	86	82	168
60	86	82	168
63	88	81	169
61	90	81	171
59	92	81	173
57	91	81	172
56	89	80	169
56	88	80	168
56	88	80	168
55	88	80	168
55	87	80	167
55	85	81	166
55	85	80	165
54	86	80	166
54	86	80	166
53	84	81	165
54	85	80	165
51	87	80	167
50	88	78	166
50	84	78	162
50	84	77	161
50	83	76	159
58	81	77	158
77	80	77	157
80	81	77	158
78	80	78	158
77	79	78	157
76	76	80	156
73	74	79	153
74	74	80	154
75	73	81	154
81	71	83	154
82	70	84	154
84	72	83	155
84	69	84	153
84	68	85	153
85	62	91	153
88	61	91	152
87	60	94	154
87	58	96	154
81	60	94	154
80	61	92	153
73	61	87	148
71	61	88	149
67	65	88	153
62	65	91	156
57	68	89	157
53	68	87	155
53	68	86	154
57	70	87	157
60	71	87	158
63	76	87	163
73	79	87	166
96	83	88	171
101	88	88	176
96	92	87	179
93	93	87	180
94	92	88	180
97	93	86	179
104	92	86	178
111	93	87	180
138	93	87	180
184	96	87	183
183	92	91	183
180	90	92	182
170	87	91	178
170	85	92	177
168	81	93	174
168	80	94	174
167	81	93	174
157	78	94	172
157	77	95	172
157	75	96	171
147	75	94	169
148	76	94	170
148	75	93	168
156	74	93	167
169	70	94	164
174	67	97	164
191	66	98	164
202	66	96	162
207	66	96	162
206	63	97	160
206	63	96	159
204	66	95	161
199	65	95	160
209	67	96	163
229	72	96	168
250	78	96	174
254	90	96	186
241	100	96	196
241	117	95	212
247	133	95	228
253	138	94	232
269	146	89	235
262	148	87	235
266	153	85	238
275	155	86	241
265	155	85	240
264	155	86	241
263	155	87	242
262	150	89	239
257	148	92	240
252	156	91	247
246	159	94	253
246	161	96	257
242	161	96	257
258	166	97	263
268	167	99	266
263	177	104	281
256	180	102	282
237	186	103	289
244	196	101	297
268	200	104	304
272	211	104	315
232	219	95	314
226	220	93	313
213	222	93	315
235	221	92	313
275	217	93	310
296	215	93	308
300	215	92	307
290	215	91	306
295	214	92	306
294	213	93	306
289	212	91	303
288	211	91	302
281	214	90	304
238	219	85	304
165	222	68	290
157	222	68	290
150	225	69	294
136	231	71	302
130	225	79	304
130	227	80	307
125	228	84	312
107	233	88	321
102	224	97	321
95	221	103	324
92	215	109	324
88	210	114	324
80	217	114	331
76	217	116	333
69	216	120	336
61	205	128	333
60	195	134	329
93	181	145	326
162	175	149	324
199	172	157	329
232	167	161	328
260	165	166	331
287	161	167	328
288	162	171	333
291	160	168	328
285	160	171	331
283	157	175	332
275	149	179	328
273	148	179	327
266	147	179	326
259	145	179	324
258	142	179	321
257	139	179	318
246	138	176	314
246	137	176	313
246	134	175	309
252	134	175	309
242	140	172	312
248	139	171	310
231	150	170	320
222	159	167	326
204	172	169	341
188	186	170	356
174	192	167	359
209	207	166	373
213	207	165	372
212	212	164	376
289	218	168	386
329	223	164	387
351	229	161	390
337	232	159	391
331	235	156	391
323	246	155	401
350	238	153	391
445	237	157	394
458	240	155	395
462	242	154	396
461	237	154	391
459	236	156	392
450	235	152	387
448	236	148	384
445	234	149	383
441	231	150	381
455	227	150	377
464	225	150	375
448	220	146	366
455	216	146	362
460	208	147	355
457	202	149	351
452	197	150	347
453	196	149	345
453	189	154	343
447	186	153	339
455	182	153	335
455	177	151	328
449	172	153	325
297	168	132	300
257	165	118	283
253	163	115	278
252	159	114	273
247	156	112	268
246	155	111	266
246	155	111	266
243	155	113	268
237	157	115	272
227	159	112	271
217	164	111	275
200	176	110	286
189	181	110	291
166	197	111	308
150	207	109	316
129	216	104	320
114	227	101	328
105	233	101	334
99	236	101	337
95	238	101	339
83	247	102	349
75	255	102	357
74	254	102	356
65	259	102	361
61	261	101	362
60	263	105	368
59	263	106	369
54	264	103	367
49	263	106	369
44	262	104	366
40	262	105	367
38	258	104	362
36	254	103	357
30	250	98	348
30	243	101	344
28	237	101	338
27	235	101	336
25	234	101	335
23	235	102	337
20	234	102	336
20	231	100	331
20	226	102	328
17	221	100	321
16	220	98	318
16	216	97	313
10	213	97	310
10	209	99	308
10	201	104	305
10	199	102	301
10	195	105	300
10	192	103	295
10	188	103	291
10	188	102	290
10	185	103	288
10	181	105	286
10	178	106	284
11	172	109	281
11	170	109	279
11	165	111	276
11	164	110	274
11	163	111	274
14	160	111	271
31	155	115	270
33	151	117	268
32	149	116	265
32	144	117	261
32	143	114	257
30	143	113	256
31	139	114	253
35	138	113	251
36	135	112	247
35	132	111	243
35	131	111	242
45	130	110	240
52	126	112	238
52	121	114	235
52	120	114	234
52	118	114	232
51	116	114	230
54	113	114	227
66	113	114	227
68	112	111	223
68	111	109	220
65	110	107	217
64	109	106	215
63	108	106	214
62	106	103	209
61	107	103	210
61	107	100	207
60	108	100	208
60	105	99	204
59	104	97	201
60	104	97	201
61	103	98	201
60	102	95	197
60	102	95	197
58	99	93	192
58	99	92	191
57	97	91	188
56	95	91	186
55	95	90	185
53	94	89	183
52	93	88	181
52	93	88	181
54	91	89	180
55	91	89	180
52	90	86	176
51	89	85	174
50	89	84	173
51	88	85	173
50	87	84	171
51	87	84	171
52	85	84	169
53	84	84	168
56	84	84	168
56	82	83	165
57	82	82	164
54	82	79	161
54	81	79	160
55	79	79	158
54	79	77	156
54	77	77	154
54	77	77	154
55	76	77	153
59	75	78	153
61	73	79	152
63	73	78	151
63	73	78	151
63	74	77	151
62	72	77	149
62	69	78	147
62	66	79	145
61	65	79	144
61	65	79	144
60	66	79	145
62	65	80	145
69	64	82	146
68	61	84	145
68	58	87	145
71	58	88	146
72	55	92	147
73	53	94	147
76	50	97	147
81	49	100	149
81	50	101	151
84	47	103	150
87	45	107	152
88	43	109	152
92	43	110	153
96	43	111	154
94	42	109	151
93	42	110	152
95	44	109	153
95	45	106	151
96	46	105	151
96	46	105	151
97	47	105	152
93	46	105	151
93	44	105	149
87	43	103	146
86	42	105	147
91	41	105	146
109	41	104	145
111	40	102	142
110	40	102	142
109	40	102	142
104	41	101	142
103	42	101	143
105	40	101	141
107	41	101	142
107	43	101	144
113	43	100	143
115	42	100	142
110	43	98	141
107	46	97	143
106	47	94	141
100	48	94	142
108	50	94	144
61	54	74	128
49	55	63	118
48	55	62	117
47	56	62	118
46	57	62	119
46	55	63	118
45	56	63	119
