embryos	juveniles	adults	juv&adults
0	100	0	100
0	100	0	100
0	100	0	100
0	100	0	100
0	100	0	100
0	99	0	99
0	99	0	99
0	99	0	99
0	98	0	98
0	98	0	98
0	96	0	96
0	96	0	96
0	95	0	95
0	95	0	95
0	94	0	94
0	94	0	94
0	92	0	92
0	92	0	92
0	92	0	92
0	90	0	90
0	90	0	90
0	89	0	89
0	87	0	87
0	87	0	87
0	86	0	86
0	86	0	86
0	85	0	85
0	85	0	85
0	84	0	84
0	81	0	81
0	80	0	80
0	80	0	80
0	80	0	80
0	80	0	80
0	79	0	79
0	78	0	78
0	78	0	78
0	78	0	78
0	77	0	77
0	76	0	76
0	76	0	76
0	76	0	76
0	76	0	76
0	75	0	75
0	74	0	74
0	74	0	74
0	73	0	73
0	71	0	71
0	71	0	71
0	71	0	71
0	70	0	70
0	70	0	70
0	70	0	70
0	69	0	69
0	69	0	69
0	69	0	69
0	69	0	69
0	68	0	68
0	66	0	66
0	66	0	66
0	66	0	66
0	66	0	66
0	65	0	65
0	65	0	65
0	64	0	64
0	64	0	64
0	64	0	64
0	64	0	64
0	63	0	63
0	63	0	63
0	63	0	63
0	61	0	61
0	61	0	61
0	61	0	61
0	61	0	61
0	60	0	60
0	59	0	59
0	59	0	59
0	59	0	59
0	59	0	59
0	58	0	58
0	58	0	58
0	58	0	58
0	58	0	58
0	57	0	57
0	56	0	56
0	56	0	56
0	55	0	55
0	54	0	54
0	54	0	54
0	54	0	54
0	53	0	53
0	51	1	52
0	50	2	52
0	50	2	52
0	49	3	52
0	47	4	51
0	46	5	51
0	46	4	50
0	46	4	50
0	46	4	50
0	46	4	50
0	43	6	49
0	42	6	48
0	39	9	48
0	36	12	48
0	33	15	48
0	32	16	48
0	29	19	48
0	28	20	48
0	25	23	48
0	24	24	48
0	23	25	48
0	19	28	47
0	18	29	47
0	14	32	46
0	13	33	46
0	12	34	46
0	12	34	46
0	12	34	46
0	8	38	46
0	7	39	46
0	7	39	46
0	5	41	46
0	5	41	46
9	5	41	46
12	3	43	46
12	2	44	46
12	2	44	46
12	2	44	46
12	2	43	45
12	2	43	45
12	0	45	45
12	0	45	45
12	0	45	45
12	0	44	44
12	0	44	44
53	0	44	44
86	0	44	44
97	0	43	43
103	0	43	43
111	0	43	43
111	0	43	43
113	0	43	43
116	0	43	43
116	0	43	43
116	0	43	43
114	2	43	45
117	5	43	48
128	6	42	48
126	8	41	49
131	10	41	51
136	10	40	50
136	10	40	50
136	10	40	50
136	10	40	50
136	10	40	50
136	10	40	50
135	11	40	51
127	17	39	56
119	25	39	64
114	30	39	69
135	42	39	81
141	53	39	92
135	61	38	99
136	66	37	103
165	77	37	114
193	85	37	122
188	86	36	122
191	89	36	125
198	92	36	128
201	92	36	128
194	92	35	127
204	93	35	128
198	92	34	126
198	92	34	126
193	92	33	125
200	93	33	126
194	93	32	125
186	93	31	124
177	92	30	122
181	94	30	124
114	100	22	122
99	111	21	132
94	116	21	137
81	129	21	150
60	146	21	167
53	152	21	173
46	165	21	186
67	170	21	191
95	170	21	191
113	172	20	192
112	170	21	191
111	171	21	192
106	174	22	196
102	175	23	198
100	173	26	199
98	172	28	200
97	167	32	199
93	164	38	202
92	161	39	200
91	158	40	198
91	156	42	198
91	153	44	197
91	145	50	195
111	145	54	199
135	145	58	203
127	147	63	210
112	150	63	213
106	154	64	218
104	149	67	216
105	148	68	216
98	153	70	223
92	155	73	228
79	159	74	233
73	163	74	237
71	164	74	238
68	166	74	240
84	165	75	240
130	165	75	240
191	162	76	238
195	160	79	239
193	155	85	240
208	160	85	245
203	161	88	249
205	159	90	249
210	164	95	259
205	167	97	264
233	163	102	265
258	160	104	264
280	155	108	263
280	152	111	263
280	150	113	263
302	144	116	260
333	138	121	259
353	133	125	258
353	130	127	257
350	131	129	260
305	139	123	262
224	145	114	259
196	155	114	269
176	172	115	287
174	178	118	296
165	179	119	298
169	187	119	306
177	191	119	310
178	195	116	311
187	196	118	314
184	190	121	311
181	190	122	312
191	198	120	318
210	198	122	320
275	203	124	327
295	207	125	332
292	207	125	332
304	208	124	332
307	209	125	334
302	207	128	335
297	204	128	332
292	201	127	328
293	198	131	329
302	194	132	326
313	201	130	331
312	206	134	340
311	203	141	344
320	207	141	348
309	212	141	353
314	208	142	350
319	203	146	349
254	201	132	333
260	197	133	330
224	193	127	320
203	190	121	311
199	189	119	308
187	195	119	314
176	200	120	320
159	211	120	331
150	218	117	335
138	227	117	344
125	233	119	352
117	239	119	358
110	240	118	358
99	243	117	360
92	245	116	361
82	244	116	360
75	247	116	363
71	248	115	363
77	251	113	364
74	254	114	368
70	255	114	369
65	254	111	365
62	258	111	369
77	259	113	372
116	256	115	371
122	257	115	372
146	254	119	373
144	253	121	374
148	248	125	373
144	242	130	372
140	237	130	367
140	235	129	364
138	232	131	363
150	225	132	357
156	226	130	356
155	222	133	355
153	215	136	351
151	211	137	348
146	207	137	344
141	202	135	337
130	204	132	336
103	202	123	325
69	198	114	312
69	196	116	312
68	194	111	305
64	191	112	303
63	185	114	299
61	175	119	294
61	172	120	292
61	170	119	289
61	167	118	285
59	166	117	283
57	164	118	282
57	162	118	280
57	161	115	276
54	161	112	273
53	158	114	272
52	156	116	272
51	154	114	268
51	153	114	267
50	150	114	264
49	150	113	263
44	151	112	263
42	153	112	265
38	154	109	263
36	155	108	263
34	154	106	260
34	152	105	257
32	152	105	257
31	150	106	256
29	151	107	258
29	149	107	256
21	148	106	254
20	149	106	255
19	149	105	254
19	148	105	253
19	144	105	249
19	144	103	247
19	141	103	244
19	140	103	243
20	142	100	242
55	137	101	238
74	136	101	237
74	132	101	233
74	130	102	232
73	126	102	228
72	122	102	224
76	116	106	222
78	113	109	222
78	110	111	221
77	108	109	217
76	107	109	216
76	102	112	214
75	101	110	211
74	100	112	212
73	100	112	212
69	100	111	211
69	96	113	209
66	95	115	210
65	92	114	206
65	91	114	205
62	89	113	202
62	88	114	202
62	87	113	200
62	87	112	199
57	87	109	196
55	87	109	196
51	85	108	193
50	85	108	193
50	82	108	190
49	78	109	187
