embryos	juveniles	adults	juv&adults
0	100	0	100
0	96	0	96
0	95	0	95
0	95	0	95
0	94	0	94
0	94	0	94
0	94	0	94
0	94	0	94
0	94	0	94
0	93	0	93
0	93	0	93
0	93	0	93
0	93	0	93
0	93	0	93
0	93	0	93
0	92	0	92
0	91	0	91
0	90	0	90
0	90	0	90
0	90	0	90
0	89	0	89
0	89	0	89
0	88	0	88
0	88	0	88
0	88	0	88
0	88	0	88
0	88	0	88
0	86	0	86
0	85	0	85
0	85	0	85
0	85	0	85
0	82	0	82
0	81	0	81
0	81	0	81
0	81	0	81
0	81	0	81
0	81	0	81
0	81	0	81
0	78	0	78
0	76	1	77
0	75	1	76
0	74	1	75
0	74	1	75
0	73	2	75
0	73	2	75
0	71	4	75
0	71	4	75
0	68	7	75
0	65	10	75
0	58	17	75
0	51	23	74
0	48	26	74
0	42	31	73
0	37	36	73
0	30	42	72
0	26	46	72
0	18	54	72
0	13	59	72
0	11	61	72
0	9	62	71
0	8	62	70
0	6	64	70
0	4	65	69
0	3	66	69
0	3	66	69
0	1	68	69
8	1	68	69
0	0	68	68
0	0	67	67
16	0	67	67
31	0	67	67
38	0	67	67
52	0	67	67
92	0	67	67
128	0	67	67
169	0	67	67
191	0	66	66
213	0	66	66
244	0	66	66
277	0	65	65
320	0	64	64
329	0	64	64
340	0	64	64
349	0	64	64
360	0	64	64
360	0	64	64
371	0	64	64
367	0	63	63
369	0	62	62
369	0	62	62
216	0	39	39
213	0	38	38
207	0	37	37
196	0	36	36
196	0	36	36
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
189	0	35	35
185	0	34	34
185	0	34	34
184	1	34	35
182	3	34	37
179	6	34	40
178	7	34	41
177	8	34	42
165	13	33	46
161	17	33	50
155	23	33	56
151	27	33	60
137	36	32	68
130	43	32	75
122	51	32	83
114	59	32	91
104	69	32	101
90	82	32	114
86	93	32	125
81	98	32	130
74	104	32	136
62	112	31	143
54	119	31	150
74	124	31	155
91	134	31	165
87	135	30	165
89	141	29	170
83	146	29	175
81	148	28	176
140	152	28	180
145	155	28	183
203	155	28	183
210	153	28	181
232	154	28	182
248	154	28	182
248	151	27	178
248	149	27	176
248	149	27	176
248	147	27	174
248	147	27	174
240	147	26	173
240	147	26	173
241	147	25	172
241	145	25	170
241	143	25	168
241	141	25	166
241	140	25	165
241	138	25	163
240	138	25	163
259	137	25	162
256	139	25	164
258	144	25	169
253	148	25	173
252	148	26	174
246	151	27	178
256	156	27	183
254	157	28	185
251	158	28	186
247	159	30	189
243	156	34	190
240	154	38	192
231	152	41	193
242	153	45	198
240	155	51	206
235	149	63	212
241	152	67	219
224	159	75	234
205	171	79	250
182	185	86	271
155	207	90	297
142	211	96	307
124	228	96	324
110	236	98	334
92	242	101	343
87	242	102	344
201	238	103	341
304	233	111	344
391	230	114	344
415	231	115	346
431	232	116	348
452	228	117	345
477	231	117	348
515	230	117	347
530	232	116	348
551	229	117	346
544	234	116	350
513	233	114	347
508	235	112	347
517	232	114	346
500	232	112	344
513	232	117	349
489	263	118	381
454	304	121	425
420	351	122	473
440	399	123	522
593	447	123	570
668	463	124	587
776	487	130	617
802	481	137	618
838	478	147	625
861	472	159	631
915	476	169	645
936	473	178	651
996	467	192	659
1036	467	197	664
938	468	202	670
1034	476	202	678
1228	500	213	713
1338	548	214	762
1244	632	221	853
1190	712	215	927
1051	743	203	946
1016	745	213	958
905	752	208	960
835	743	208	951
829	728	214	942
825	726	226	952
