embryos	juveniles	adults	juv&adults
0	100	0	100
0	99	0	99
0	98	0	98
0	97	0	97
0	97	0	97
0	97	0	97
0	96	0	96
0	96	0	96
0	96	0	96
0	95	0	95
0	95	0	95
0	95	0	95
0	95	0	95
0	94	0	94
0	92	0	92
0	91	0	91
0	89	0	89
0	88	0	88
0	87	0	87
0	85	0	85
0	85	0	85
0	84	0	84
0	84	0	84
0	84	0	84
0	82	0	82
0	81	0	81
0	81	0	81
0	81	0	81
0	81	0	81
0	80	0	80
0	79	0	79
0	79	0	79
0	76	0	76
0	75	0	75
0	75	0	75
0	75	0	75
0	74	0	74
0	73	0	73
0	73	0	73
0	73	0	73
0	73	0	73
0	73	0	73
0	73	0	73
0	72	1	73
0	71	2	73
0	71	2	73
0	69	4	73
0	66	7	73
0	66	7	73
0	60	12	72
0	55	16	71
0	53	18	71
0	49	22	71
0	45	26	71
0	38	33	71
0	36	35	71
0	28	43	71
0	21	50	71
0	16	55	71
0	13	58	71
0	10	60	70
0	8	61	69
0	6	63	69
0	4	65	69
0	1	66	67
0	1	66	67
0	1	66	67
0	1	66	67
0	1	66	67
7	0	66	66
13	0	66	66
22	0	65	65
29	0	64	64
50	0	61	61
73	0	61	61
87	0	60	60
108	0	60	60
132	0	60	60
172	0	59	59
182	0	59	59
206	0	59	59
233	0	58	58
245	0	57	57
267	0	56	56
280	0	56	56
285	0	56	56
280	0	55	55
305	0	55	55
305	0	55	55
305	0	55	55
245	0	43	43
232	0	41	41
225	0	40	40
220	0	39	39
212	0	38	38
212	0	38	38
204	0	37	37
204	0	37	37
204	0	37	37
204	0	37	37
204	0	37	37
198	0	36	36
190	0	35	35
184	0	34	34
184	0	34	34
184	0	34	34
184	0	34	34
184	0	33	33
179	0	32	32
178	1	32	33
178	1	32	33
173	1	31	32
169	5	31	36
169	5	31	36
159	8	30	38
157	10	30	40
148	19	30	49
137	25	29	54
132	30	29	59
128	34	29	63
122	40	29	69
111	51	29	80
107	55	29	84
100	61	29	90
96	65	29	94
86	75	29	104
76	84	29	113
65	92	28	120
55	102	28	130
84	106	28	134
77	112	28	140
79	120	28	148
74	125	28	153
69	130	28	158
64	135	28	163
73	136	26	162
112	138	26	164
139	142	26	168
158	143	26	169
179	142	26	168
228	141	26	167
244	140	26	166
244	137	26	163
244	136	26	162
244	135	26	161
261	135	26	161
261	134	26	160
263	133	25	158
263	132	25	157
276	130	25	155
292	130	25	155
292	128	25	153
291	128	25	153
289	130	25	155
275	133	24	157
267	140	24	164
256	151	24	175
265	153	24	177
262	156	24	180
260	154	25	179
260	151	26	177
273	149	27	176
273	146	27	173
257	146	27	173
257	143	27	170
256	142	27	169
255	141	29	170
254	139	31	170
248	134	41	175
240	138	42	180
258	138	46	184
264	148	48	196
263	149	61	210
253	157	63	220
227	175	68	243
200	198	69	267
173	220	71	291
149	234	73	307
116	247	74	321
106	251	76	327
103	248	81	329
96	251	82	333
177	248	83	331
276	242	88	330
309	243	93	336
284	246	94	340
290	246	95	341
302	252	99	351
308	254	102	356
334	252	104	356
367	252	102	354
401	245	109	354
393	236	114	350
389	234	117	351
398	231	118	349
404	228	118	346
427	229	119	348
465	231	119	350
488	248	119	367
493	281	120	401
489	332	119	451
493	357	117	474
618	386	117	503
671	391	118	509
699	405	119	524
714	414	122	536
732	418	131	549
793	416	146	562
766	411	162	573
782	417	179	596
782	430	197	627
847	445	210	655
754	479	209	688
923	484	208	692
1204	503	207	710
1372	528	210	738
1359	561	211	772
1255	612	205	817
1088	636	194	830
1133	639	198	837
1095	634	197	831
1036	631	192	823
987	629	200	829
953	636	207	843
874	713	214	927
760	844	226	1070
647	962	238	1200
653	1056	240	1296
691	1090	244	1334
825	1107	244	1351
971	1091	249	1340
1109	1087	255	1342
1109	1057	254	1311
1042	1028	249	1277
573	13	167	180
566	10	166	176
552	14	166	180
542	17	165	182
533	20	162	182
521	26	161	187
511	36	161	197
493	32	159	191
486	34	156	190
465	40	152	192
457	48	152	200
450	55	151	206
428	77	151	228
396	108	149	257
330	167	147	314
260	230	145	375
180	211	144	355
133	254	140	394
85	292	139	431
65	307	138	445
53	314	136	450
32	327	135	462
26	329	131	460
21	333	130	463
16	329	127	456
9	334	127	461
8	331	126	457
5	326	124	450
5	323	125	448
4	323	124	447
3	321	124	445
3	315	123	438
2	312	120	432
2	309	119	428
2	308	118	426
1	306	117	423
0	303	116	419
0	300	116	416
0	297	115	412
0	291	114	405
3	287	114	401
3	285	113	398
3	285	111	396
3	282	109	391
14	280	108	388
14	274	107	381
14	270	106	376
14	266	104	370
14	261	103	364
14	256	106	362
17	251	105	356
17	246	107	353
17	244	108	352
17	237	112	349
17	218	123	341
17	209	127	336
17	198	135	333
17	185	143	328
17	167	154	321
23	141	175	316
28	128	182	310
41	118	190	308
77	106	200	306
101	87	214	301
101	76	222	298
108	67	225	292
124	54	234	288
172	41	241	282
214	33	245	278
209	32	245	277
208	31	243	274
200	30	240	270
197	26	242	268
197	23	242	265
193	21	241	262
193	19	241	260
190	17	241	258
188	16	240	256
186	15	240	255
191	16	240	256
185	20	242	262
179	26	239	265
168	32	236	268
159	42	233	275
148	48	231	279
139	54	228	282
134	56	227	283
135	60	228	288
131	63	227	290
132	63	223	286
135	64	223	287
133	65	221	286
132	65	221	286
130	67	219	286
128	66	215	281
156	65	215	280
235	66	213	279
268	67	212	279
279	69	210	279
340	72	209	281
371	75	206	281
369	79	200	279
368	86	199	285
357	93	197	290
351	96	195	291
343	102	193	295
347	108	192	300
349	116	192	308
359	119	190	309
367	120	188	308
373	120	184	304
378	122	179	301
378	123	175	298
375	125	173	298
370	127	172	299
380	126	171	297
387	127	171	298
389	128	170	298
384	126	167	293
379	128	162	290
376	127	160	287
372	126	158	284
372	124	157	281
370	122	155	277
370	121	155	276
370	118	155	273
361	115	152	267
358	115	151	266
358	115	150	265
348	113	147	260
346	112	146	258
341	110	143	253
340	110	141	251
335	109	140	249
333	107	138	245
331	106	137	243
325	106	136	242
316	106	134	240
315	107	132	239
310	104	131	235
308	106	130	236
305	111	130	241
296	119	130	249
291	122	129	251
280	135	128	263
271	150	126	276
269	161	124	285
257	169	123	292
251	178	124	302
251	185	124	309
260	197	124	321
252	206	120	326
262	216	119	335
256	224	118	342
260	237	118	355
263	242	118	360
265	247	116	363
268	255	113	368
286	268	112	380
281	269	111	380
281	271	111	382
279	272	110	382
278	271	109	380
262	273	105	378
269	273	107	380
260	271	106	377
268	274	103	377
262	274	102	376
273	275	102	377
273	272	104	376
270	271	102	373
268	269	102	371
278	273	101	374
277	269	102	371
277	265	101	366
277	259	99	358
275	259	99	358
277	256	100	356
279	251	104	355
274	249	104	353
276	245	105	350
271	241	105	346
262	241	104	345
262	242	103	345
263	238	106	344
257	235	103	338
261	233	104	337
258	231	104	335
255	224	105	329
256	216	110	326
256	210	114	324
241	208	112	320
240	207	110	317
236	204	108	312
236	196	112	308
236	196	111	307
234	196	109	305
237	192	110	302
239	190	111	301
240	188	112	300
244	189	110	299
236	189	109	298
238	188	108	296
241	186	108	294
244	185	109	294
239	185	108	293
239	185	108	293
240	186	108	294
248	184	110	294
245	183	110	293
243	176	110	286
249	180	111	291
237	180	107	287
238	184	106	290
186	184	95	279
156	186	91	277
146	185	92	277
129	190	89	279
123	195	89	284
119	192	90	282
121	197	89	286
116	199	90	289
105	205	90	295
100	204	90	294
93	201	93	294
92	197	95	292
105	191	98	289
103	184	106	290
98	182	110	292
104	178	112	290
106	171	117	288
108	169	118	287
110	161	124	285
110	154	130	284
108	152	130	282
109	148	132	280
109	146	133	279
107	141	138	279
108	138	139	277
101	134	139	273
98	136	139	275
106	138	139	277
129	135	142	277
136	134	142	276
147	137	142	279
141	135	144	279
156	135	142	277
209	133	142	275
237	134	143	277
237	135	141	276
236	129	144	273
