embryos	juveniles	adults	juv&adults
0	100	0	100
0	100	0	100
0	100	0	100
0	99	0	99
0	97	0	97
0	97	0	97
0	95	0	95
0	94	0	94
0	93	0	93
0	93	0	93
0	93	0	93
0	91	0	91
0	90	0	90
0	89	0	89
0	88	0	88
0	88	0	88
0	88	0	88
0	85	0	85
0	81	0	81
0	79	0	79
0	79	0	79
0	79	0	79
0	79	0	79
0	78	0	78
0	77	0	77
0	75	0	75
0	74	0	74
0	74	0	74
0	74	0	74
0	74	0	74
0	73	0	73
0	73	0	73
0	73	0	73
0	73	0	73
0	73	0	73
0	73	0	73
0	72	0	72
0	71	0	71
0	71	0	71
0	71	0	71
0	69	1	70
0	69	1	70
0	68	2	70
0	66	3	69
0	65	3	68
0	63	5	68
0	63	5	68
0	63	5	68
0	60	8	68
0	59	9	68
0	56	12	68
0	52	15	67
0	47	19	66
0	36	29	65
0	32	33	65
0	27	38	65
0	22	43	65
0	19	44	63
0	18	44	62
0	13	47	60
0	9	51	60
0	6	54	60
0	6	54	60
0	3	57	60
0	2	58	60
0	1	58	59
0	1	58	59
11	1	57	58
18	1	57	58
18	1	57	58
23	0	58	58
23	0	58	58
23	0	58	58
53	0	57	57
67	0	57	57
89	0	56	56
108	0	56	56
144	0	55	55
158	0	55	55
176	0	55	55
202	0	55	55
218	0	55	55
234	0	54	54
241	0	54	54
260	0	54	54
268	0	54	54
279	0	54	54
279	0	54	54
280	0	53	53
269	0	51	51
188	0	39	39
188	0	39	39
184	0	38	38
182	0	37	37
182	0	37	37
182	0	37	37
182	0	37	37
182	0	37	37
182	0	37	37
182	0	37	37
182	0	37	37
182	0	37	37
182	0	37	37
176	0	36	36
171	0	35	35
171	0	35	35
171	0	35	35
171	0	35	35
171	0	35	35
171	0	35	35
171	0	35	35
165	1	34	35
165	1	34	35
164	2	34	36
163	3	34	37
163	3	34	37
160	6	34	40
158	8	34	42
153	13	34	47
147	19	34	53
142	24	34	58
139	27	34	61
125	36	33	69
107	44	31	75
101	50	31	81
98	59	31	90
89	67	31	98
77	75	30	105
68	83	29	112
84	91	29	120
81	93	29	122
90	105	28	133
84	111	28	139
79	115	28	143
69	122	27	149
65	126	27	153
90	130	26	156
122	131	26	157
167	131	25	156
172	132	25	157
213	134	25	159
202	131	24	155
202	129	23	152
186	128	22	150
186	127	22	149
186	127	22	149
186	126	22	148
198	127	22	149
213	126	22	148
248	125	22	147
265	123	22	145
265	123	22	145
265	122	22	144
263	124	22	146
261	126	22	148
259	127	22	149
255	131	22	153
253	132	22	154
265	133	22	155
265	128	23	151
265	128	23	151
276	129	23	152
276	129	23	152
276	128	24	152
275	125	27	152
272	128	27	155
271	128	28	156
266	130	30	160
255	139	32	171
249	141	35	176
236	153	41	194
250	153	49	202
250	163	53	216
212	183	55	238
183	205	61	266
147	234	67	301
128	245	72	317
105	262	77	339
90	268	81	349
87	266	86	352
78	264	92	356
63	269	94	363
109	262	97	359
191	260	100	360
241	259	101	360
281	251	105	356
309	249	109	358
340	253	109	362
369	249	110	359
392	256	110	366
408	261	110	371
422	262	108	370
432	257	108	365
424	251	107	358
429	248	107	355
440	243	105	348
454	238	105	343
472	242	106	348
453	256	111	367
427	286	111	397
413	322	112	434
414	356	114	470
458	380	114	494
599	407	119	526
636	422	120	542
720	436	126	562
770	433	140	573
803	429	154	583
802	426	168	594
828	421	184	605
870	425	195	620
958	431	210	641
876	442	217	659
979	452	214	666
1224	476	219	695
1296	500	219	719
1279	566	223	789
1190	641	218	859
1069	658	206	864
1094	663	210	873
1041	662	206	868
954	659	204	863
934	658	206	864
905	667	214	881
829	736	219	955
700	841	226	1067
617	942	238	1180
624	1002	240	1242
728	1031	238	1269
801	1018	240	1258
934	1011	243	1254
1010	987	249	1236
1039	965	253	1218
1025	935	254	1189
646	19	170	189
633	12	170	182
608	23	168	191
589	33	169	202
576	46	168	214
569	53	168	221
555	62	166	228
533	64	163	227
513	71	161	232
503	79	159	238
491	88	158	246
474	104	155	259
449	126	155	281
403	167	153	320
334	230	150	380
277	280	148	428
210	181	148	329
150	226	145	371
114	257	143	400
83	280	141	421
58	300	140	440
41	311	137	448
30	320	135	455
22	317	132	449
16	320	128	448
11	323	128	451
9	319	128	447
6	320	126	446
4	316	124	440
2	314	123	437
1	311	120	431
0	304	119	423
0	300	117	417
0	295	115	410
0	288	114	402
0	284	112	396
0	280	111	391
0	273	109	382
0	269	108	377
0	266	108	374
0	261	107	368
0	256	106	362
0	254	106	360
0	253	106	359
8	250	107	357
8	248	106	354
8	246	107	353
8	241	103	344
8	240	98	338
8	236	98	334
8	229	102	331
8	220	107	327
8	215	108	323
8	210	110	320
8	205	109	314
8	199	111	310
8	190	114	304
8	169	130	299
8	155	142	297
12	144	148	292
12	131	158	289
29	113	175	288
55	101	184	285
68	91	192	283
64	81	199	280
67	72	208	280
89	63	214	277
151	53	221	274
161	46	224	270
161	41	225	266
153	37	227	264
141	35	223	258
141	28	229	257
141	24	229	253
141	22	230	252
138	20	229	249
136	18	228	246
136	17	229	246
132	20	230	250
151	19	228	247
147	23	228	251
139	26	225	251
134	28	225	253
133	28	226	254
128	32	223	255
123	37	223	260
116	40	222	262
121	41	221	262
119	43	218	261
122	41	214	255
118	44	211	255
113	46	209	255
112	46	207	253
111	46	207	253
105	48	204	252
161	48	202	250
222	50	201	251
239	50	199	249
239	53	196	249
324	53	194	247
352	58	193	251
365	66	193	259
362	68	189	257
355	74	186	260
351	75	185	260
346	78	184	262
344	79	182	261
358	81	180	261
362	81	178	259
388	85	177	262
393	88	177	265
388	91	175	266
377	88	171	259
377	89	169	258
378	91	168	259
383	92	168	260
384	92	168	260
378	92	165	257
378	90	165	255
372	90	162	252
374	90	162	252
374	89	162	251
374	89	162	251
366	87	160	247
362	87	159	246
358	88	157	245
358	88	156	244
350	89	153	242
345	90	149	239
340	89	146	235
335	88	145	233
333	88	144	232
333	86	144	230
326	87	143	230
324	87	142	229
321	87	140	227
322	86	139	225
312	87	136	223
309	87	134	221
306	89	133	222
284	96	129	225
285	105	128	233
