embryos	juveniles	adults	juv&adults
0	97	0	97
0	96	0	96
0	96	0	96
0	95	0	95
0	94	0	94
0	93	0	93
0	91	0	91
0	91	0	91
0	90	0	90
0	90	0	90
0	89	0	89
0	89	0	89
0	86	0	86
0	84	0	84
0	84	0	84
0	84	0	84
0	84	0	84
0	84	0	84
0	84	0	84
0	83	0	83
0	83	0	83
0	83	0	83
0	82	0	82
0	80	0	80
0	79	0	79
0	79	0	79
0	79	0	79
0	79	0	79
0	79	0	79
0	79	0	79
0	78	0	78
0	77	0	77
0	77	0	77
0	76	0	76
0	76	0	76
0	74	0	74
0	72	0	72
0	71	0	71
0	70	0	70
0	70	0	70
0	70	0	70
0	70	0	70
0	67	1	68
0	67	1	68
0	63	5	68
0	61	5	66
0	59	7	66
0	58	8	66
0	55	10	65
0	51	14	65
0	43	21	64
0	39	24	63
0	32	30	62
0	27	35	62
0	24	38	62
0	20	41	61
0	18	43	61
0	13	48	61
0	10	50	60
0	8	52	60
0	7	53	60
0	4	56	60
0	3	56	59
0	3	56	59
0	3	56	59
0	3	55	58
9	2	56	58
9	1	56	57
13	1	56	57
13	0	57	57
24	0	57	57
44	0	57	57
54	0	57	57
77	0	56	56
91	0	56	56
133	0	56	56
175	0	56	56
202	0	56	56
222	0	56	56
252	0	56	56
257	0	55	55
269	0	55	55
283	0	55	55
289	0	55	55
297	0	55	55
307	0	55	55
307	0	55	55
307	0	55	55
307	0	55	55
312	0	55	55
145	0	29	29
145	0	29	29
140	0	28	28
140	0	28	28
140	0	28	28
140	0	28	28
140	0	28	28
140	0	27	27
140	0	27	27
140	0	27	27
140	0	27	27
140	0	27	27
140	0	27	27
140	0	27	27
140	0	27	27
140	0	27	27
136	0	26	26
127	0	25	25
125	0	24	24
125	0	24	24
125	0	24	24
125	0	24	24
125	0	24	24
116	0	23	23
116	0	23	23
116	0	23	23
114	2	23	25
111	5	23	28
109	7	23	30
103	13	23	36
98	18	23	41
83	28	22	50
79	32	22	54
74	37	22	59
66	45	22	67
68	50	22	72
63	55	22	77
54	64	22	86
49	68	22	90
63	75	22	97
64	85	22	107
61	88	22	110
58	91	22	113
53	95	20	115
49	99	20	119
63	99	20	119
93	103	20	123
93	103	20	123
122	104	20	124
136	105	20	125
158	104	20	124
168	105	20	125
180	105	20	125
180	104	20	124
180	104	20	124
180	102	20	122
180	102	20	122
180	98	20	118
180	97	20	117
196	98	20	118
196	95	20	115
211	96	20	116
210	96	20	116
226	100	20	120
226	99	20	119
218	107	20	127
204	108	19	127
203	107	19	126
199	111	19	130
224	115	19	134
220	118	19	137
229	121	19	140
227	122	19	141
225	124	19	143
236	123	20	143
236	122	20	142
236	122	20	142
236	119	22	141
236	114	26	140
231	112	31	143
225	113	34	147
219	114	43	157
192	125	45	170
196	134	53	187
175	146	62	208
148	168	62	230
116	194	66	260
98	210	66	276
81	224	68	292
71	229	69	298
64	231	70	301
59	230	71	301
129	225	76	301
188	230	75	305
287	224	82	306
303	221	85	306
310	217	87	304
322	215	89	304
336	212	94	306
333	210	93	303
358	210	93	303
385	210	95	305
385	205	96	301
378	206	95	301
368	202	94	296
361	204	93	297
367	207	90	297
374	212	91	303
362	228	90	318
312	273	91	364
292	308	94	402
280	335	97	432
423	364	98	462
494	378	103	481
551	379	110	489
585	383	118	501
642	381	127	508
664	386	128	514
698	384	135	519
703	374	153	527
746	367	175	542
802	365	192	557
753	367	192	559
794	374	191	565
1103	389	198	587
1244	401	207	608
1175	463	209	672
1110	529	206	735
969	562	192	754
1014	569	199	768
990	563	203	766
908	563	198	761
882	558	206	764
844	572	221	793
823	623	233	856
683	737	243	980
636	857	246	1103
718	908	249	1157
852	936	257	1193
993	934	256	1190
1167	919	257	1176
1222	898	259	1157
1235	880	259	1139
1204	865	257	1122
757	11	184	195
738	7	182	189
726	16	185	201
716	26	184	210
677	45	181	226
651	62	179	241
640	72	179	251
618	81	177	258
605	94	176	270
580	103	175	278
563	107	172	279
549	120	172	292
526	141	172	313
474	187	170	357
413	241	167	408
331	309	163	472
258	200	160	360
184	270	158	428
129	319	153	472
97	346	151	497
65	373	150	523
47	384	150	534
33	389	148	537
25	392	146	538
16	397	145	542
7	394	141	535
3	396	141	537
3	388	140	528
2	382	139	521
1	381	137	518
1	380	135	515
1	374	134	508
1	368	131	499
1	361	130	491
1	358	128	486
1	353	126	479
1	347	122	469
0	345	121	466
0	344	120	464
0	338	117	455
0	328	118	446
0	322	117	439
0	319	114	433
0	315	113	428
0	306	111	417
0	295	110	405
0	290	108	398
0	283	112	395
0	277	112	389
0	274	109	383
0	263	112	375
0	255	114	369
0	252	115	367
0	242	121	363
0	233	126	359
0	221	133	354
0	212	139	351
0	199	151	350
0	190	157	347
5	180	164	344
15	164	178	342
35	146	194	340
73	123	211	334
101	111	219	330
101	100	228	328
100	87	238	325
111	70	252	322
181	54	267	321
194	41	277	318
192	36	278	314
189	27	282	309
184	25	278	303
184	24	279	303
181	23	275	298
181	18	277	295
176	17	274	291
169	14	271	285
169	12	271	283
170	10	272	282
178	15	272	287
171	15	272	287
171	18	271	289
161	28	269	297
151	35	265	300
143	40	263	303
146	41	265	306
135	46	261	307
128	50	258	308
118	56	255	311
125	61	255	316
134	63	250	313
133	64	248	312
122	64	241	305
122	63	235	298
118	61	234	295
175	61	232	293
203	62	227	289
246	62	224	286
259	62	223	285
417	63	222	285
462	63	218	281
455	67	215	282
450	70	210	280
434	75	207	282
425	84	206	290
419	88	204	292
419	89	203	292
424	93	201	294
423	93	200	293
427	95	196	291
438	96	195	291
435	98	194	292
434	97	193	290
435	98	192	290
433	99	189	288
434	99	188	287
426	99	186	285
427	100	184	284
419	101	181	282
416	103	177	280
411	101	175	276
404	99	172	271
404	99	171	270
397	98	168	266
393	99	165	264
389	98	164	262
384	97	161	258
373	95	159	254
366	94	157	251
365	95	157	252
362	93	155	248
362	93	155	248
356	91	153	244
348	91	148	239
348	89	148	237
349	91	148	239
350	91	148	239
348	91	147	238
346	95	147	242
329	99	142	241
321	102	140	242
307	108	137	245
297	115	136	251
287	119	133	252
269	123	129	252
256	131	129	260
250	145	128	273
244	147	127	274
245	169	126	295
247	187	124	311
239	200	123	323
243	201	123	324
257	215	122	337
263	226	122	348
267	236	122	358
267	245	121	366
268	251	118	369
276	253	117	370
295	257	115	372
284	261	110	371
286	267	109	376
290	272	108	380
302	273	108	381
283	270	101	371
289	268	101	369
290	262	99	361
289	255	103	358
281	250	103	353
275	249	104	353
277	246	106	352
263	242	104	346
261	240	106	346
258	240	107	347
256	238	106	344
251	236	105	341
251	233	108	341
253	235	107	342
244	232	105	337
239	230	104	334
244	229	103	332
237	225	101	326
240	223	102	325
240	221	102	323
244	216	104	320
241	212	102	314
242	209	103	312
237	206	102	308
237	204	103	307
237	203	102	305
246	202	102	304
246	198	104	302
247	196	104	300
247	193	102	295
243	190	102	292
235	188	101	289
231	186	100	286
226	186	98	284
225	185	97	282
227	182	98	280
223	180	97	277
222	176	97	273
213	175	95	270
206	174	94	268
203	177	93	270
200	179	92	271
189	183	89	272
187	184	88	272
187	182	88	270
182	179	88	267
176	181	89	270
168	184	88	272
166	184	87	271
166	186	89	275
166	181	89	270
